article_id,published_et,market_date,primary_ticker,more_tickers,category,vix,sp500_mae_10d_pct,nasdaq_mae_10d_pct,title
1223,2024-12-10 11:44,2024-12-10,AVGO,,real news,14.18,0.347,0.658,Broadcom Enhances Open-Source Ecosystem with Bitnami Premium Release - Broadcom (NASDAQ:AVGO)
1235,2024-12-10 18:39,2024-12-10,AMZN,,real news,14.18,0.347,0.658,"Amazon Autos: Buy Your Next Car Online, It's Just A Click Away - Amazon.com (NASDAQ:AMZN)"
1248,2024-12-10 23:00,2024-12-10,NOK,,real news,14.18,0.347,0.658,Nokia and SK Broadband deploy quantum secure network to protect Korea Hydro and Nuclear Power’s IT infrastructure
1265,2024-12-11 12:00,2024-12-11,NOK,,real news,13.58,0.372,0.771,Nokia building IP network to support AI workloads at Nscale’s new sustainable data center
1267,2024-12-11 12:15,2024-12-11,PLTR,,real news,13.58,0.372,0.771,Palantir's Warp Speed Launches To Accelerate US Manufacturing With Advanced AI Integration - Palantir Tec
1294,2024-12-12 10:45,2024-12-12,AMZN,GOOG|GOOGL|KEYS|MSFT|NVDA|SNPS,real news,13.92,0.394,0.777,"Synopsys Proposes Divesting Units, Including Ansys PowerArtist, For $35 Billion EU Deal Approval - Synops"
1298,2024-12-12 11:26,2024-12-12,AMZN,NVDA,real news,13.92,0.394,0.777,"Healthcare Executives Embrace Generative AI to Boost Patient Outcomes - Amazon.com (NASDAQ:AMZN), AVAI BI"
1331,2024-12-13 07:30,2024-12-13,AMAT,,real news,13.81,0.333,0.707,Applied Materials Announces Cash Dividend - Applied Materials (NASDAQ:AMAT)
1327,2024-12-13 09:02,2024-12-13,HPE,NVDA,real news,13.81,0.333,0.707,Hewlett Packard Enterprise And LRZ Team Up For Supercomputing Breakthrough: Details - Hewlett Packard (NY
1410,2024-12-16 08:50,2024-12-16,MCHP,,real news,14.69,0.358,0.734,Integrated and Compact CAN FD System Basis Chip Solution for Space-Constrained Applications
1445,2024-12-17 09:00,2024-12-17,COHR,TEL,real news,15.87,0.395,0.726,Tabnine Introduces Ability to Flag Unlicensed Code in AI-generated Software
1451,2024-12-17 10:00,2024-12-17,GOOG,GOOGL|META,real news,15.87,0.395,0.726,"Global Smart Glasses Market Estimated to Reach $4.129 Billion By 2030, a Big Boon for Tech Companies"
1516,2024-12-20 10:53,2024-12-20,DELL,NVDA|SMCI,real news,18.36,0.685,0.967,"Nvidia Secures EU Approval For Run:ai Deal, US Probes China Export Breach - NVIDIA (NASDAQ:NVDA)"
2222,2025-01-14 07:00,2025-01-14,AMZN,,real news,18.71,0.667,0.945,"iHerb Expands Global Reach with New Digital Storefronts on Albertsons Companies, Amazon UK and Amazon Australia"
2541,2025-01-23 04:43,2025-01-23,META,MSFT|NVDA,real news,15.02,0.7,0.929,TikTok-Parent ByteDance Plans $12 Billion AI Chip Investment In 2025 To Bolster Global AI Ambitions Amid
2559,2025-01-23 11:00,2025-01-23,NTAP,META|NVDA,real news,15.02,0.7,0.929,Pipeshift raises $2.5M to offer enterprises flexibility and control over their AI stack using open-source models
2562,2025-01-23 12:04,2025-01-23,GOOG,GOOGL|META,real news,15.02,0.7,0.929,Google Taps HTC's Talent in $250 Million Deal to Lead AR/VR Innovation - Alphabet (NASDAQ:GOOGL)
2584,2025-01-24 09:00,2025-01-24,MKSI,,real news,14.85,0.715,0.973,MKS Instruments Completes Repricing on its Secured Term Loan B USD and EUR Tranches and Makes a $100 Million Voluntary Prepayment on its Secured Term Loan B USD
2600,2025-01-24 17:34,2025-01-24,MSFT,,real news,14.85,0.715,0.973,Tevogen Bio Broadens Relationship with Microsoft to Deepen Artificial Intelligence Collaboration and Develop PredicTcell Technology on Azure
2916,2025-02-03 09:17,2025-02-03,DELL,,real news,18.62,0.678,0.99,Sophos Completes Secureworks Acquisition - Dell Technologies (NYSE:DELL)
2923,2025-02-03 20:59,2025-02-03,NVDA,SMCI,real news,18.62,0.678,0.99,VCI Global 通过 Supermicro 采购尖端 NVIDIA H200 人工智能芯片以强化人工智能云业务
2961,2025-02-05 03:00,2025-02-05,NOK,,real news,15.77,0.638,0.96,Nokia and Orange France extend long-term partnership with new 5G deal
2988,2025-02-05 18:00,2025-02-05,SIMO,,real news,15.77,0.638,0.96,Silicon Motion Announces New $50 Million Share Repurchase Program
2987,2025-02-05 18:00,2025-02-05,SIMO,,real news,15.77,0.638,0.96,"Silicon Motion Announces Results for the Period Ended December 31, 2024"
3012,2025-02-06 10:36,2025-02-06,ORCL,,real news,15.5,0.618,0.988,"Oracle Enhances Cloud HCM With AI, Helping Businesses Improve HR Efficiency - Oracle (NYSE:ORCL)"
3018,2025-02-06 14:16,2025-02-06,AMZN,ESTC|MSFT,real news,15.5,0.618,0.988,NexQloud Files Patent for Distributed Kubernetes Service (DKS) and Migrates Infrastructure from Amazon EKS
3036,2025-02-06 16:35,2025-02-06,AMZN,,real news,15.5,0.618,0.988,"Amazon EPS Jumps 86%, Beats Forecasts | The Motley Fool"
3022,2025-02-06 16:41,2025-02-06,CARR,,real news,15.5,0.618,0.988,75F Raises Additional $45M Series B to Increase Energy Savings and Make Building Automation Easier
3131,2025-02-10 01:00,2025-02-10,NOK,INTC|HPE,real news,15.81,0.607,0.865,Sisäpiiritieto: Nokian johto vaihtuu – Justin Hotard nimitetty Pekka Lundmarkin seuraajaksi
3129,2025-02-10 01:00,2025-02-10,HPE,INTC|NOK,real news,15.81,0.607,0.865,Inside information: Nokia announces a leadership transition – Justin Hotard appointed as successor to Pekka Lundmark
3164,2025-02-10 16:29,2025-02-10,MSFT,,real news,15.81,0.607,0.865,"Elon Musk Co-Founded OpenAI, Now He's Bidding $97.4B To Take Back The Company - Microsoft (NASDAQ:MSFT)"
3170,2025-02-11 04:00,2025-02-11,GOOG,GOOGL,real news,16.02,0.528,0.698,Bind Research launched to transform disordered proteins into effective drug targets
3178,2025-02-11 07:45,2025-02-11,NVDA,,real news,16.02,0.528,0.698,Firefly Neuroscience Accepted into NVIDIA Connect Program
3191,2025-02-11 10:48,2025-02-11,AMD,NVDA,real news,16.02,0.528,0.698,"AMD Expands AI Research With CEA Partnership, Aiming for Energy-Efficient Computing - Advanced Micro Devi"
3221,2025-02-12 10:23,2025-02-12,VRT,,real news,15.89,0.516,0.65,"Vertiv Rides AI Boom To 26% Sales Growth, But Stock Slips On Mixed Outlook - Vertiv Holdings (NYSE:VRT)"
3223,2025-02-12 11:44,2025-02-12,TEL,,real news,15.89,0.516,0.65,TE Connectivity Snaps Up Richards Manufacturing For $2.3 Billion: Details - TE Connectivity (NYSE:TEL)
3230,2025-02-12 16:10,2025-02-12,EQIX,,real news,15.89,0.516,0.65,Equinix Increases Quarterly Dividend on Its Common Stock for 10th Consecutive Year Since REIT Conversion
3244,2025-02-13 06:00,2025-02-13,GOOG,GOOGL|NVDA,real news,15.1,0.568,0.776,Apptronik Raises $350 Million to Scale Production of AI-Powered Humanoid Robots and Meet Significant Customer Demand
3252,2025-02-13 08:00,2025-02-13,SNOW,,real news,15.1,0.568,0.776,LaunchDarkly Announces Snowflake Native App for Data Warehouse Native Experimentation and Product Analytics
3381,2025-02-18 09:00,2025-02-18,AMZN,,real news,15.35,0.477,0.676,"Kabrita, the #1 Goat Milk Formula Brand Worldwide, Launches Their Infant Formula in Canada"
3396,2025-02-18 16:02,2025-02-18,GOOG,GOOGL|META,real news,15.35,0.477,0.676,"Dan Loeb's Third Point Boosts Meta Holdings, Now A Top 4 Position - Meta Platforms (NASDAQ:META)"
3409,2025-02-18 17:29,2025-02-18,ARM,CDNS|NVDA|TSM,real news,15.35,0.477,0.676,Cadence Systems: Q4 EPS Tops Forecast | The Motley Fool
3404,2025-02-19 04:00,2025-02-19,NVDA,,real news,15.27,0.434,0.548,MFH's Majority-Owned Subsidiary Aifinity Base Limited Plans to Manufacture Advanced Liquid Cooling Solutions for Nvidia® Chip-Powered AI Data Centers and High-Performance Computing
3402,2025-02-19 04:00,2025-02-19,NVDA,,real news,15.27,0.434,0.548,MFH's Majority-Owned Subsidiary Aifinity Base Limited Plans to Manufacture Advanced Liquid Cooling Solutions for Nvidia® Chip-Powered AI Data Centers and High-Performance Computing
3414,2025-02-19 07:01,2025-02-19,MCHP,MSFT,real news,15.27,0.434,0.548,Artificial Intelligence Meets Embedded Development with Microchip’s MPLAB® AI Coding Assistant
3455,2025-02-20 10:55,2025-02-20,PWR,,real news,15.66,0.435,0.576,"Quanta Services Profits Surge In Q4, Projects $27.1 Billion In 2025 Revenue - Quanta Services (NYSE:PWR)"
3542,2025-02-23 10:45,2025-02-21,AMZN,GOOG|GOOGL|HPQ|MSFT|NVDA|QCOM|TSM,real news,18.21,0.571,0.745,"Consumer Tech News (Feb 17-Feb 21): Mexico Warns Alphabet Over Naming of the ""Gulf of Mexico"" On Maps, Ap"
3569,2025-02-24 09:00,2025-02-24,FORM,,real news,18.98,0.525,0.73,FormFactor Announces the Closing of FICT Transaction
3577,2025-02-24 12:00,2025-02-24,INTC,,real news,18.98,0.525,0.73,Eviden unveils new generation of enterprise servers for AI and critical applications
3632,2025-02-25 09:39,2025-02-25,AMZN,,real news,19.43,0.507,0.768,Extra Week Helps Home Depot Beat Q4 Forecasts | The Motley Fool
3643,2025-02-26 03:00,2025-02-26,NOK,,real news,19.1,0.504,0.758,Nokia launches MX Context to accelerate Industry 4.0 with AI-powered contextual awareness suites #MWC25
3666,2025-02-26 11:00,2025-02-26,MDB,,real news,19.1,0.504,0.758,"Introducing Contentstack EDGE, the World’s First Adaptive Digital Experience Platform"
5619,2025-05-07 08:00,2025-05-07,CSCO,,real news,23.55,0.756,0.964,Testsigma announces autonomous testing capabilities - ushering in the era of agentic AI
5622,2025-05-07 08:24,2025-05-07,DLR,,real news,23.55,0.756,0.964,"Mortgage Applications Jump 11% As Buyers Rush In Ahead Of Fed Decision - BRT Apartments (NYSE:BRT), Digit"
5628,2025-05-07 11:00,2025-05-07,NOW,,real news,23.55,0.756,0.964,Zoom and ServiceNow Announce Strategic Integration to Elevate Customer and Employee Experiences
5627,2025-05-07 11:00,2025-05-07,NOW,,real news,23.55,0.756,0.964,Apiiro Joins Forces with ServiceNow to Power its CMDB with AI-Native Code-to-Runtime Software Inventory
5687,2025-05-09 08:30,2025-05-09,MCHP,NVDA|AVGO,real news,21.9,0.555,0.671,Microchip Technology Stock Gains On Uplifting Forecast - Microchip Technology (NASDAQ:MCHP)
5699,2025-05-09 20:00,2025-05-09,MDB,,real news,21.9,0.555,0.671,"Shopify Inc to Join the Nasdaq-100 Index® Beginning May 19, 2025"
5916,2025-05-19 00:43,2025-05-19,NBIS,NVDA,real news,18.14,0.74,0.961,NVIDIA Announces DGX Cloud Lepton to Connect Developers to NVIDIA’s Global Compute Ecosystem
5913,2025-05-19 00:43,2025-05-19,NVDA,,real news,18.14,0.74,0.961,NVIDIA Powers World’s Largest Quantum Research Supercomputer
5924,2025-05-19 08:02,2025-05-19,NVDA,VRT,real news,18.14,0.74,0.961,"Vertiv Develops Power Solutions In Sync With NVIDIA's AI Roadmap - NVIDIA (NASDAQ:NVDA), Vertiv Holdings"
5928,2025-05-19 10:23,2025-05-19,AMD,SANM,real news,18.14,0.74,0.961,AMD Sells Off A $5 Billion Powerhouse: What's The Catch In This $3 Billion Deal? - Advanced Micro Devices
5935,2025-05-19 13:06,2025-05-19,HPE,NVDA,real news,18.14,0.74,0.961,"Hewlett Packard, Nvidia Deepen Collaboration On AI Factory Solutions - Hewlett Packard (NYSE:HPE)"
5942,2025-05-19 18:00,2025-05-19,MU,SIMO,real news,18.14,0.74,0.961,"Lightning-Fast Speeds, Massive Capacities: Crucial SSDs Elevate Gaming and Creative Endeavors"
5949,2025-05-19 22:45,2025-05-19,GFS,,real news,18.14,0.74,0.961,GlobalFoundries Partners with A*STAR to Accelerate Advanced Packaging Innovation
5950,2025-05-20 02:30,2025-05-20,MSFT,,real news,18.09,0.691,0.913,Temenos launches Gen AI Copilot for banks to deliver better products faster
5952,2025-05-20 04:00,2025-05-20,ARM,,real news,18.09,0.691,0.913,lowRISC Welcomes Javier Orensanz Martinez as CEO
6014,2025-05-22 03:00,2025-05-22,NOK,,real news,20.28,0.751,0.947,Nokia and Three Sweden expand access to fast broadband through 5G Fixed Wireless Access for improved connectivity
6060,2025-05-22 15:27,2025-05-22,ADI,,real news,20.28,0.751,0.947,Analog Devices Q2 Earnings Top Forecasts | The Motley Fool
6046,2025-05-22 16:00,2025-05-22,IPGP,,real news,20.28,0.751,0.947,IPG Photonics Appoints Mira Sahney as Senior Vice President of Global Laser Systems
6051,2025-05-22 18:32,2025-05-22,AMZN,,real news,20.28,0.751,0.947,Bill Ackman's Pershing Square Builds New Stake In Amazon At 'Extremely Attractive' Price - Amazon.com (NA
6150,2025-05-27 05:00,2025-05-27,NOK,DELL,real news,18.96,0.684,0.858,Nokia accelerates mass market multi-Gig broadband with new high-density 25G PON line card
6164,2025-05-27 12:55,2025-05-27,BELFA,BELFB,real news,18.96,0.684,0.858,Farouq Tuweiq Assumes CEO Role
6175,2025-05-28 04:00,2025-05-28,NOK,,real news,19.31,0.676,0.748,Nokia and blackned to create next-generation deployable tactical networks for the defense sector
6181,2025-05-28 06:24,2025-05-28,NOK,,real news,19.31,0.676,0.748,"Nokia Advances Multi-PON Fiber Tech, Powers blackned's Defense Networks - Nokia (NYSE:NOK)"
6197,2025-05-28 11:00,2025-05-28,ARM,,real news,19.31,0.676,0.748,Cerence AI Partners with Arm to Deliver Enhanced LLM Capabilities at the Edge
6214,2025-05-28 11:04,2025-05-28,PLAB,,real news,19.31,0.676,0.748,Photronics PLAB Q2 2025 Earnings Call Transcript | The Motley Fool
6202,2025-05-28 11:11,2025-05-28,PLTR,,real news,19.31,0.676,0.748,Fannie Mae Launches AI Fraud Detection Technology Partnership with Palantir - FANNIE MAE by Fannie Mae (O
6213,2025-05-29 03:00,2025-05-29,NOK,,real news,19.18,0.703,0.716,Nokia brings Wi-Fi 7 to all with launch of Beacon 4 and 9 home devices
6218,2025-05-29 05:45,2025-05-29,AMD,NVDA,real news,19.18,0.703,0.716,AMD Deepens AI Ecosystem With Enosemi Acquisition - Advanced Micro Devices (NASDAQ:AMD)
6298,2025-06-02 01:00,2025-06-02,NOK,,real news,18.36,0.658,0.746,"Vodafone Qatar selects Nokia in major network modernization deal to drive expanded 5G coverage, reliability, and services"
6300,2025-06-02 04:00,2025-06-02,NVDA,,real news,18.36,0.658,0.746,Illumio Simplifies Zero Trust in Critical Infrastructure with NVIDIA Accelerated Computing
6317,2025-06-02 10:47,2025-06-02,AVGO,,real news,18.36,0.658,0.746,Broadcom Shares Rise On New AI Tools To Help Businesses Cut Cloud Costs - Broadcom (NASDAQ:AVGO)
6320,2025-06-02 16:57,2025-06-02,GLW,,real news,18.36,0.658,0.746,Harvard Bioscience Appoints John Duke to Board of Directors
6369,2025-06-04 07:39,2025-06-04,META,SMCI,real news,17.61,0.673,0.819,"Constellation Energy and Meta Strike Nuclear Deal, Shares Whipsaw"
6395,2025-06-04 17:09,2025-06-04,ETN,CDNS,real news,17.61,0.673,0.819,ChargePoint (CHPT) Q1 2026 Earnings Transcript | The Motley Fool
6385,2025-06-04 17:13,2025-06-04,MCHP,,real news,17.61,0.673,0.819,StealthCores Joins Microchip Partner Program to Deliver Advanced Security for PolarFire FPGA and SoC Platforms
6392,2025-06-05 04:00,2025-06-05,AMD,DELL|HPE|IBM|INTC|MSFT|NVDA,real news,18.48,0.553,0.761,SPEC Resumes Global Collaboration with Companies on U.S. BIS Entity List
6412,2025-06-05 16:15,2025-06-05,AVGO,,real news,18.48,0.553,0.761,Broadcom Inc. Announces Second Quarter Fiscal Year 2025 Financial Results and Quarterly Dividend - Broadc
6474,2025-06-08 14:28,2025-06-06,AMD,MSFT|GLW,real news,16.77,0.652,0.853,"ASUS Republic of Gamers Announces the ROG Xbox Ally and ROG Xbox Ally X, Raising the Standard for Gaming Handhelds"
6480,2025-06-09 04:31,2025-06-09,AMZN,NVDA,real news,17.16,0.592,0.784,Boeing 737 MAX Deliveries To China Restart After Month-Long Pause Amid Trade Tensions With US Over Trump'
6496,2025-06-09 13:35,2025-06-09,QCOM,,real news,17.16,0.592,0.784,Qualcomm Stock Is Rising Monday: What's Going On? - Qualcomm (NASDAQ:QCOM)
6507,2025-06-10 03:00,2025-06-10,NOK,,real news,16.95,0.441,0.601,Nokia and Leonardo partner to deliver worldwide mission-critical private wireless networks for public safety and critical infrastructures
6521,2025-06-10 11:13,2025-06-10,AMZN,GOOGL|GOOG,real news,16.95,0.441,0.601,"Smart Healthcare Is Taking Over. Here's Where the Money's Headed - Amazon.com (NASDAQ:AMZN), AVAI BIO INC"
6525,2025-06-11 02:24,2025-06-11,IREN,NVDA,real news,17.26,0.412,0.6,IREN prices upsized $500 million convertible notes offering
6528,2025-06-11 03:58,2025-06-11,META,PLTR,real news,17.26,0.412,0.6,Anduril CEO Palmer Luckey Confirms IPO Plans To Compete For Trillion-Dollar Defense Contracts: 'We Are De
6537,2025-06-11 05:57,2025-06-11,NBIS,NVDA,real news,17.26,0.412,0.6,NVIDIA Partners With Europe Model Builders and Cloud Providers to Accelerate Region’s Leap Into AI
6555,2025-06-11 16:53,2025-06-11,AAOI,NVDA,real news,17.26,0.412,0.6,What's Going On With Applied Optoelectronics Stock? - Applied Optoelectronics (NASDAQ:AAOI)
6563,2025-06-11 17:09,2025-06-11,ORCL,,real news,17.26,0.412,0.6,Oracle Earnings See Cloud Acceleration | The Motley Fool
6561,2025-06-11 17:29,2025-06-11,AMD,CSCO|NVDA,real news,17.26,0.412,0.6,"Saudi Arabia Taps AMD, Cisco For Cloud Project: Report - Advanced Micro Devices (NASDAQ:AMD)"
6560,2025-06-12 01:00,2025-06-12,GOOG,GOOGL,real news,18.02,0.412,0.585,Codeproof Technologies Revolutionizes Device Management with Zero-Touch Enrollment for Android and iOS
6568,2025-06-12 05:00,2025-06-12,NOK,,real news,18.02,0.412,0.585,O2 Czech Republic deploys Nokia 5G Standalone Core to deliver advanced network services
6567,2025-06-12 05:00,2025-06-12,HPQ,,real news,18.02,0.412,0.585,Multiverse Computing Raises $215M to Scale Ground-Breaking Technology that Compresses LLMs by up to 95%
6574,2025-06-12 09:09,2025-06-12,MSFT,,real news,18.02,0.412,0.585,Mattel Teams Up With OpenAI To Develop AI-Powered Interactive Toys - Mattel (NASDAQ:MAT)
6579,2025-06-12 14:46,2025-06-12,AMD,MU,real news,18.02,0.412,0.585,Micron HBM Designed into Leading AMD AI Platform
6596,2025-06-13 16:35,2025-06-13,COHR,,real news,20.82,0.513,0.682,Coherent Launches Best-In-Class 18 W 880 nm Single-Emitter Laser Diode For High-Performance DPSS Systems
6649,2025-06-16 07:00,2025-06-16,NOK,DELL|JBL|ORCL|HPE,real news,19.11,0.552,0.766,Nokia announces changes to Group Leadership Team
6646,2025-06-16 07:00,2025-06-16,NOK,DELL|JBL|ORCL|HPE,real news,19.11,0.552,0.766,Nokia ilmoittaa muutoksista johtoryhmän kokoonpanossa
6655,2025-06-16 09:00,2025-06-16,AMAT,,real news,19.11,0.552,0.766,Applied Materials and CEA-Leti Expand Joint Lab To Drive Innovation in Specialty Chips
6684,2025-06-17 19:06,2025-06-17,META,,real news,21.6,0.58,0.777,"Meta Teams Up With Oakley, Prada For Next-Gen AI Smart Glasses - Meta Platforms (NASDAQ:META)"
6700,2025-06-18 16:40,2025-06-18,COHR,,real news,20.14,0.579,0.758,Coherent Introduces Class-Leading Disposable Surgical Fiber Assemblies for Laser Lithotripsy and Advanced Medical Applications
6702,2025-06-18 20:40,2025-06-18,INTC,,real news,20.14,0.579,0.758,Pacific Urban Investors Expands Portland Metro Portfolio with 304-Unit Acquisition
6724,2025-06-19 10:00,2025-06-18,MSFT,,real news,20.14,0.579,0.758,Atos et la Société Financière IGM finalisent avec succès le passage au cloud public
